dataset,seed_label,method,recall,recall_min,recall_max,impact,seed_count
transition1x,10,mp_ridge,0.3804113038699478,0.3407407407407407,0.4383561643835616,0.4313805270498179,10.0
transition1x,10,net_force,0.3513450265886881,0.3209876543209876,0.40506329113924056,0.08081504199321991,10.0
transition1x,10,random,0.3510657532234326,0.3309692671394799,0.3867403314917127,0.3510657532234326,10.0
transition1x,10,ridge,0.3832815841041411,0.3428571428571428,0.44109589041095887,0.39202188093998247,10.0
transition1x,10,rigid_force,0.36099288295682924,0.3209876543209876,0.3924050632911392,0.08078286855070335,10.0
transition1x,10,trees_log,0.36223847587702784,0.3071428571428571,0.46301369863013697,0.4305012120203668,10.0
transition1x,10,trees_physics,0.32899746105790634,0.30126582278481007,0.3671232876712328,0.2674261194059158,10.0
transition1x,10,trees_raw,0.359637472817255,0.2833333333333333,0.4712328767123287,0.391000258384025,10.0
transition1x,100,force_magnitude,0.37422924375936273,0.3411764705882353,0.4246575342465754,0.8595827096982134,100.0
transition1x,100,mp_ridge,0.3158986445897165,0.2518518518518518,0.3643835616438356,0.327398229739399,100.0
transition1x,100,net_force,0.3513450265886881,0.3209876543209876,0.40506329113924056,0.08081504199321991,100.0
transition1x,100,random,0.3510657532234326,0.3309692671394799,0.3867403314917127,0.3510657532234326,100.0
transition1x,100,ridge,0.32605837399085663,0.2716049382716049,0.38630136986301367,0.3669864967475668,100.0
transition1x,100,rigid_force,0.36099288295682924,0.3209876543209876,0.3924050632911392,0.08078286855070335,100.0
transition1x,100,trees_log,0.33594387695801076,0.2870588235294117,0.38734177215189874,0.21046735251130944,100.0
transition1x,100,trees_physics,0.23119602858258564,0.2050632911392405,0.2595238095238095,0.048301051848425036,100.0
transition1x,100,trees_raw,0.33375379473665523,0.3063291139240506,0.37260273972602737,0.20670221742029696,100.0
transition1x,20,force_magnitude,0.37422924375936273,0.3411764705882353,0.4246575342465754,0.8595827096982134,20.0
transition1x,20,mp_ridge,0.36588702016202634,0.3317647058823529,0.4,0.46914465436621644,20.0
transition1x,20,net_force,0.3513450265886881,0.3209876543209876,0.40506329113924056,0.08081504199321991,20.0
transition1x,20,random,0.3510657532234326,0.3309692671394799,0.3867403314917127,0.3510657532234326,20.0
transition1x,20,ridge,0.3724707276176113,0.3364705882352941,0.3972602739726027,0.46908903667629237,20.0
transition1x,20,rigid_force,0.36099288295682924,0.3209876543209876,0.3924050632911392,0.08078286855070335,20.0
transition1x,20,trees_log,0.36653469697739155,0.32098765432098764,0.4082191780821917,0.23439347626105533,20.0
transition1x,20,trees_physics,0.33315190591197075,0.32405063291139236,0.3506849315068493,0.14997256723938068,20.0
transition1x,20,trees_raw,0.36929187619662496,0.33086419753086416,0.4164383561643835,0.2334168015544737,20.0
transition1x,50,force_magnitude,0.37422924375936273,0.3411764705882353,0.4246575342465754,0.8595827096982134,50.0
transition1x,50,mp_ridge,0.35289330504886895,0.29135802469135796,0.3835616438356164,0.30303981808192243,50.0
transition1x,50,net_force,0.3513450265886881,0.3209876543209876,0.40506329113924056,0.08081504199321991,50.0
transition1x,50,random,0.3510657532234326,0.3309692671394799,0.3867403314917127,0.3510657532234326,50.0
transition1x,50,ridge,0.3649480838826099,0.3037037037037037,0.40714285714285714,0.3423404787074113,50.0
transition1x,50,rigid_force,0.36099288295682924,0.3209876543209876,0.3924050632911392,0.08078286855070335,50.0
transition1x,50,trees_log,0.36498739102728667,0.29135802469135796,0.41772151898734167,0.30312731049271685,50.0
transition1x,50,trees_physics,0.3056758436106654,0.28888888888888886,0.3247058823529411,0.10221657822794665,50.0
transition1x,50,trees_raw,0.3754000174461759,0.328395061728395,0.4261904761904761,0.3416116017203189,50.0
transition1x,full,force_magnitude,0.37422924375936273,0.3411764705882353,0.4246575342465754,0.8595827096982134,200.0
transition1x,full,mp_ridge,0.16798286317076455,0.0273972602739726,0.2345679012345679,0.019736844282124556,200.0
transition1x,full,net_force,0.3513450265886881,0.3209876543209876,0.40506329113924056,0.08081504199321991,200.0
transition1x,full,random,0.3510657532234326,0.3309692671394799,0.3867403314917127,0.3510657532234326,200.0
transition1x,full,ridge,0.16763012948469752,0.0273972602739726,0.2619047619047619,0.01941359699805598,200.0
transition1x,full,rigid_force,0.36099288295682924,0.3209876543209876,0.3924050632911392,0.08078286855070335,200.0
transition1x,full,trees_log,0.20418514512266314,0.03013698630136986,0.3209876543209876,0.2160963067735619,200.0
transition1x,full,trees_physics,0.12101809935516246,0.0136986301369863,0.20714285714285707,0.019048286383639004,200.0
transition1x,full,trees_raw,0.1889999543247672,0.03561643835616438,0.3432098765432098,0.21328156823663297,200.0
