dataset,fold,repeat,seed_label,seed_count,pool_count,total_count,method,selected_count,recall,impact
aimnet2,0,3,10,10,799,280,ridge,270,0.6125,0.26561807115654784
aimnet2,0,3,10,10,799,280,mp_ridge,270,0.6125,0.26561807115654784
aimnet2,0,3,10,10,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,3,10,10,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,3,10,10,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,3,10,10,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,3,20,20,799,280,trees_log,260,0.8375,0.37118074359813347
aimnet2,0,3,20,20,799,280,trees_raw,260,0.85,0.36534694267328244
aimnet2,0,3,20,20,799,280,trees_physics,260,0.8875,0.37303915306875485
aimnet2,0,3,20,20,799,280,ridge,260,0.8875,0.3962895763353707
aimnet2,0,3,20,20,799,280,mp_ridge,260,0.6875,0.4154310133102543
aimnet2,0,3,20,20,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,3,20,20,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,3,20,20,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,3,20,20,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,3,50,50,799,280,trees_log,230,0.9125,0.3661831006888577
aimnet2,0,3,50,50,799,280,trees_raw,230,0.95,0.3648388091490576
aimnet2,0,3,50,50,799,280,trees_physics,230,0.9625,0.3483405999128249
aimnet2,0,3,50,50,799,280,ridge,230,0.95,0.39957439239874926
aimnet2,0,3,50,50,799,280,mp_ridge,230,0.8,0.404016878542702
aimnet2,0,3,50,50,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,3,50,50,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,3,50,50,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,3,50,50,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,3,100,100,799,280,trees_log,180,0.925,0.30223395851557994
aimnet2,0,3,100,100,799,280,trees_raw,180,0.9375,0.30163666094019304
aimnet2,0,3,100,100,799,280,trees_physics,180,0.925,0.2881939862703296
aimnet2,0,3,100,100,799,280,ridge,180,0.9375,0.3207899374945937
aimnet2,0,3,100,100,799,280,mp_ridge,180,0.8125,0.3141040554926209
aimnet2,0,3,100,100,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,3,100,100,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,3,100,100,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,3,100,100,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,3,full,201,799,280,trees_log,79,0.6875,0.1729633041991248
aimnet2,0,3,full,201,799,280,trees_raw,79,0.7125,0.17264520043253476
aimnet2,0,3,full,201,799,280,trees_physics,79,0.675,0.16005130189731756
aimnet2,0,3,full,201,799,280,ridge,79,0.725,0.1872933180738544
aimnet2,0,3,full,201,799,280,mp_ridge,79,0.7125,0.18097102572184567
aimnet2,0,3,full,201,799,280,net_force,280,0.8875,0.39706454520096246
aimnet2,0,3,full,201,799,280,rigid_force,280,0.975,0.4013885152516627
aimnet2,0,3,full,201,799,280,force_magnitude,280,0.4125,0.32523160067786033
aimnet2,0,3,full,201,799,280,random,280,0.3504380475594493,0.3504380475594493
aimnet2,0,4,10,10,799,280,trees_log,270,0.9625,0.4124082822296467
aimnet2,0,4,10,10,799,280,trees_raw,270,0.975,0.4128509656741282
aimnet2,0,4,10,10,799,280,trees_physics,270,0.9625,0.38935586906863706
aimnet2,0,4,10,10,799,280,ridge,270,0.9125,0.3955615551032292
